Date,Close/Last,Open,High,Low
2014-12-18,2061.23,2018.98,2061.23,2018.98
2015-01-01,2058.9,0.0,0.0,0.0
2015-02-02,2020.85,1996.67,2021.66,1980.9
2015-03-02,2117.39,2105.23,2117.52,2104.5
2015-04-01,2059.69,2067.63,2067.63,2048.38
2015-05-01,2108.29,2087.38,2108.41,2087.38
2015-06-01,2111.73,2108.64,2119.15,2102.54
2015-07-01,2077.42,2067.0,2082.78,2067.0
2015-08-03,2098.04,2104.49,2105.7,2087.31
2015-09-01,1913.85,1970.09,1970.09,1903.07
2015-10-01,1923.82,1919.65,1927.21,1900.7
2015-11-02,2104.05,2080.76,2106.2,2080.76
2015-12-01,2102.63,2082.93,2103.37,2082.93
2016-01-04,2012.66,2038.2,2038.2,1989.68
2016-02-01,1939.38,1936.94,1947.2,1920.3
2016-03-01,1978.35,1937.09,1978.35,1937.09
2016-04-01,2072.78,2056.62,2075.07,2043.98
2016-05-02,2081.43,2067.17,2083.42,2066.11
2016-06-01,2099.33,2093.94,2100.97,2085.1
2016-07-01,2102.95,2099.34,2108.71,2097.9
2016-08-01,2170.84,2173.15,2178.29,2166.21
2016-09-01,2170.86,2171.33,2173.56,2157.09
2016-10-03,2161.2,2164.33,2164.41,2154.77
2016-11-01,2111.72,2128.68,2131.45,2097.85
2016-12-01,2191.08,2200.17,2202.6,2187.44
2017-01-03,2257.83,2251.57,2263.88,2245.13
2017-02-01,2279.55,2285.59,2289.14,2272.44
2017-03-01,2395.96,2380.13,2400.98,2380.13
2017-04-03,2358.84,2362.34,2365.87,2344.73
2017-05-01,2388.33,2388.5,2394.49,2384.83
2017-06-01,2430.06,2415.65,2430.06,2413.54
2017-07-03,2429.01,2431.39,2439.17,2428.69
2017-08-01,2476.35,2477.1,2478.51,2471.14
2017-09-01,2476.55,2474.42,2480.38,2473.85
2017-10-02,2529.12,2521.2,2529.23,2520.4
2017-11-01,2579.36,2583.21,2588.4,2574.92
2017-12-01,2642.22,2645.1,2650.62,2605.52
2018-01-02,2695.81,2683.73,2695.89,2682.36
2018-02-01,2821.98,2816.45,2835.96,2812.7
2018-03-01,2677.67,2715.22,2730.89,2659.65
2018-04-02,2581.88,2633.45,2638.3,2553.8
2018-05-01,2654.8,2643.64,2655.27,2625.41
2018-06-01,2734.62,2718.7,2736.93,2718.7
2018-07-02,2726.71,2704.95,2727.26,2698.95
2018-08-01,2813.36,2821.17,2825.83,2805.85
2018-09-04,2896.72,2896.96,2900.18,2885.13
2018-10-01,2924.59,2926.29,2937.06,2917.91
2018-11-01,2740.37,2717.58,2741.67,2708.85
2018-12-03,2790.37,2790.5,2800.18,2773.38
2019-01-02,2510.03,2476.96,2519.49,2467.47
2019-02-01,2706.53,2702.32,2716.66,2696.88
2019-03-01,2803.69,2798.22,2808.02,2787.38
2019-04-01,2867.19,2848.63,2869.4,2848.63
2019-05-01,2923.73,2952.33,2954.13,2923.36
2019-06-03,2744.45,2751.53,2763.07,2728.81
2019-07-01,2964.33,2971.41,2977.93,2952.22
2019-08-01,2953.56,2980.32,3013.59,2945.23
2019-09-03,2906.27,2909.01,2914.39,2891.85
2019-10-01,2940.25,2983.69,2992.53,2938.7
2019-11-01,3066.91,3050.72,3066.95,3050.72
2019-12-02,3113.87,3143.85,3144.31,3110.78
2020-01-02,3257.85,3244.67,3258.14,3235.53
2020-02-03,3248.92,3235.66,3268.44,3235.66
2020-03-02,3090.23,2974.28,3090.96,2945.19
2020-04-01,2470.5,2498.08,2522.75,2447.49
2020-05-01,2830.71,2869.09,2869.09,2821.61
2020-06-01,3055.73,3038.78,3062.18,3031.54
2020-07-01,3115.86,3105.92,3128.44,3101.17
2020-08-03,3294.61,3288.26,3302.73,3284.53
2020-09-01,3526.65,3507.44,3528.03,3494.6
2020-10-01,3380.8,3385.87,3397.18,3361.39
2020-11-02,3310.24,3296.2,3330.14,3279.74
2020-12-01,3662.45,3645.87,3678.45,3645.87
2021-01-04,3700.65,3764.61,3769.99,3662.71
2021-02-01,3773.86,3731.17,3784.32,3725.62
2021-03-01,3901.82,3842.51,3914.5,3842.51
2021-04-01,4019.87,3992.78,4020.63,3992.78
2021-05-03,4192.66,4191.98,4209.39,4188.03
2021-06-01,4202.04,4216.52,4234.12,4197.59
2021-07-01,4319.94,4300.73,4320.66,4300.73
2021-08-02,4387.16,4406.86,4422.18,4384.81
2021-09-01,4524.09,4528.8,4537.11,4522.02
2021-10-01,4357.04,4317.16,4375.19,4288.52
2021-11-01,4613.67,4610.62,4620.34,4595.06
2021-12-01,4513.04,4602.82,4652.94,4510.27
2022-01-03,4796.56,4778.14,4796.64,4758.17
2022-02-01,4546.54,4519.57,4550.49,4483.53
2022-03-01,4306.26,4363.14,4378.45,4279.54
2022-04-01,4545.86,4540.32,4548.7,4507.57
2022-05-02,4155.38,4130.61,4169.81,4062.51
2022-06-01,4101.23,4149.78,4166.54,4073.85
2022-07-01,3825.33,3781.0,3829.82,3752.1
2022-08-01,4118.63,4112.38,4144.95,4096.02
2022-09-01,3966.85,3936.73,3970.23,3903.65
2022-10-03,3678.43,3609.78,3698.35,3604.93
2022-11-01,3856.1,3901.79,3911.79,3843.8
2022-12-01,4076.57,4087.14,4100.51,4050.87
2023-01-03,3824.14,3853.29,3878.46,3794.33
2023-02-01,4119.21,4070.07,4148.95,4037.2
2023-03-01,3951.39,3963.34,3971.73,3939.05
2023-04-03,4124.51,4102.2,4127.66,4098.79
2023-05-01,4167.87,4166.79,4186.92,4164.12
2023-06-01,4221.02,4183.03,4232.43,4171.64
2023-07-03,4455.59,4450.48,4456.46,4442.29
2023-08-01,4576.73,4578.83,4584.62,4567.53
2023-09-01,4515.77,4530.6,4541.25,4501.35
2023-10-02,4288.39,4284.52,4300.58,4260.21
2023-11-01,4237.86,4201.27,4245.64,4197.74
2023-12-01,4594.63,4559.43,4599.39,4554.71
2024-01-02,4742.83,4745.2,4754.33,4722.67
2024-02-01,4906.19,4861.11,4906.97,4853.52
2024-03-01,5137.08,5098.51,5140.33,5094.16
2024-04-01,5243.77,5257.97,5263.95,5229.2
2024-05-01,5018.39,5029.03,5096.12,5013.45
2024-06-03,5283.4,5297.15,5302.11,5234.32
2024-07-01,5475.09,5471.08,5479.55,5446.53
2024-08-01,5446.68,5537.84,5566.16,5410.42
2024-09-03,5528.93,5623.89,5623.89,5504.33
2024-10-01,5708.75,5757.73,5757.73,5681.28
2024-11-01,5728.8,5723.22,5772.52,5723.22
2024-12-02,6047.15,6040.11,6053.58,6035.33
